lng,lat,Title,VI,date
120.44083333333332,23.462777777777784,0,,2022-11-06 12:00:00
120.41500871847164,23.461461009255352,1,,2022-11-06 11:00:00
120.38957876472443,23.460294305924677,2,,2022-11-06 10:00:00
120.3680292806441,23.46122816356484,3,,2022-11-06 09:00:00
120.35230514296352,23.464404775327655,4,,2022-11-06 08:00:00
120.3429662878238,23.467076345192645,5,,2022-11-06 07:00:00
120.3406697219324,23.46936734972987,6,,2022-11-06 06:00:00
120.34387696985222,23.476604154495448,7,,2022-11-06 05:00:00
120.35231946349649,23.48891355962702,8,,2022-11-06 04:00:00
120.36611046784968,23.49428803969859,9,,2022-11-06 03:00:00
120.38980413041524,23.503841453306805,10,,2022-11-06 02:00:00
120.42082211889222,23.50626941651561,11,,2022-11-06 01:00:00
120.45143579289656,23.508127861472826,12,,2022-11-06 00:00:00
120.47967625964628,23.526419165373195,13,,2022-11-05 23:00:00
120.4995156238429,23.549260538270115,14,,2022-11-05 22:00:00
120.50360893099644,23.56726021514352,15,,2022-11-05 21:00:00
120.50346688831462,23.5806742005214,16,,2022-11-05 20:00:00
120.51803302587142,23.590354688590068,17,,2022-11-05 19:00:00
120.53203384130542,23.597565923685647,18,,2022-11-05 18:00:00
120.54219157853493,23.589296534658423,19,,2022-11-05 17:00:00
120.55274775712914,23.581502547511743,20,,2022-11-05 16:00:00
120.56009219587928,23.57373801513527,21,,2022-11-05 15:00:00
120.56762674867444,23.561291250915435,22,,2022-11-05 14:00:00
120.57494438168384,23.53747159479666,23,,2022-11-05 13:00:00
120.57778833533176,23.5212615324435,24,,2022-11-05 12:00:00
120.5843285365278,23.51041093730176,25,,2022-11-05 11:00:00
120.59536618937298,23.49733028946584,26,,2022-11-05 10:00:00
120.6204598675832,23.4974204046311,27,,2022-11-05 09:00:00
120.6373728904161,23.496023540627483,28,,2022-11-05 08:00:00
120.6504015091427,23.493594995366035,29,,2022-11-05 07:00:00
120.65583047225728,23.489464415268387,30,,2022-11-05 06:00:00
120.65582203509244,23.48352619944425,31,,2022-11-05 05:00:00
120.65582357814564,23.475690914986604,32,,2022-11-05 04:00:00
120.65581158725404,23.465819354619885,33,,2022-11-05 03:00:00
120.65585338501998,23.45162815307796,34,,2022-11-05 02:00:00
120.65665954683358,23.44105494649591,35,,2022-11-05 01:00:00
120.65820935858817,23.439425968328436,36,,2022-11-05 00:00:00
120.66132409049668,23.437127664452348,37,,2022-11-04 23:00:00
120.66756607010012,23.434239162643987,38,,2022-11-04 22:00:00
120.67810807846006,23.43097141163112,39,,2022-11-04 21:00:00
120.68638524788696,23.424485730809774,40,,2022-11-04 20:00:00
120.68916231427332,23.41345170791167,41,,2022-11-04 19:00:00
120.70355458951455,23.41348919530191,42,,2022-11-04 18:00:00
120.71871680611804,23.41355460282211,43,,2022-11-04 17:00:00
120.73137397196564,23.41350009338693,44,,2022-11-04 16:00:00
120.75063525619125,23.415211352200803,45,,2022-11-04 15:00:00
120.77793817108042,23.42921206987065,46,,2022-11-04 14:00:00
120.80555766498654,23.462176478263743,47,,2022-11-04 13:00:00
120.8126928592604,23.49666109838125,48,,2022-11-04 12:00:00
120.81952554061075,23.528764026481536,49,,2022-11-04 11:00:00
120.82232705472212,23.548945451461485,50,,2022-11-04 10:00:00
120.82851330229556,23.556443026637005,51,,2022-11-04 09:00:00
120.83724087733523,23.557234034173792,52,,2022-11-04 08:00:00
120.85501631421292,23.56412461878321,53,,2022-11-04 07:00:00
120.87030195253766,23.572564206912173,54,,2022-11-04 06:00:00
120.91118549735872,23.61288139510177,55,,2022-11-04 05:00:00
120.96919749159896,23.698868838760777,56,,2022-11-04 04:00:00
120.98518860295442,23.75194803843902,57,,2022-11-04 03:00:00
120.97172238683456,23.772720625526347,58,,2022-11-04 02:00:00
120.95275665582253,23.78857261628284,59,,2022-11-04 01:00:00
120.93914998798805,23.800536629913758,60,,2022-11-04 00:00:00
120.92099224147375,23.807138112391836,61,,2022-11-03 23:00:00
120.8931366852043,23.809472887531875,62,,2022-11-03 22:00:00
120.86705792029184,23.806208405070446,63,,2022-11-03 21:00:00
120.8592156006916,23.80608773966114,64,,2022-11-03 20:00:00
120.8499400836549,23.80609964217529,65,,2022-11-03 19:00:00
120.8388661149374,23.806125167641817,66,,2022-11-03 18:00:00
120.8376557239738,23.80614299104989,67,,2022-11-03 17:00:00
120.83763331868288,23.806154491174297,68,,2022-11-03 16:00:00
120.83760080537677,23.806208211073425,69,,2022-11-03 15:00:00
120.83763960890012,23.80612088789886,70,123.6,2022-11-03 14:00:00
120.28805555555556,22.63250000000004,0,,2022-11-06 12:00:00
120.29401605670884,22.62413531145636,1,,2022-11-06 11:00:00
120.30653064015196,22.616420770061143,2,,2022-11-06 10:00:00
120.3215684685592,22.607359929720147,3,,2022-11-06 09:00:00
120.33932274433252,22.59609617418978,4,,2022-11-06 08:00:00
120.36123089712416,22.58478901149756,5,,2022-11-06 07:00:00
120.38107279190515,22.57513657314558,6,,2022-11-06 06:00:00
120.39464567098462,22.572130062295308,7,,2022-11-06 05:00:00
120.40103872199217,22.57222520286029,8,,2022-11-06 04:00:00
120.40054487546728,22.57199726883801,9,,2022-11-06 03:00:00
120.39468031832894,22.572159287809075,10,,2022-11-06 02:00:00
120.38602481222186,22.57195856612795,11,,2022-11-06 01:00:00
120.38007230729887,22.571990279486368,12,,2022-11-06 00:00:00
120.3766500970194,22.571990521907374,13,,2022-11-05 23:00:00
120.37745227737364,22.571897627405104,14,,2022-11-05 22:00:00
120.38357468705912,22.571883978415418,15,,2022-11-05 21:00:00
120.39328134205476,22.572012908334557,16,,2022-11-05 20:00:00
120.40856794494462,22.572051839972467,17,,2022-11-05 19:00:00
120.43402900933764,22.582865648922592,18,,2022-11-05 18:00:00
120.46317793695911,22.61951380454769,19,,2022-11-05 17:00:00
120.48419080762072,22.66184607606252,20,,2022-11-05 16:00:00
120.50716738508922,22.702805505912696,21,,2022-11-05 15:00:00
120.52429355315856,22.751680289644096,22,,2022-11-05 14:00:00
120.54069633154636,22.7990639520606,23,,2022-11-05 13:00:00
120.54892456006814,22.83635377649368,24,,2022-11-05 12:00:00
120.56189150142647,22.86240934750372,25,,2022-11-05 11:00:00
120.57333609405224,22.8850612254612,26,,2022-11-05 10:00:00
120.58965398556104,22.899812887519467,27,,2022-11-05 09:00:00
120.60511971168806,22.910637484500008,28,,2022-11-05 08:00:00
120.62588918327492,22.91399990038868,29,,2022-11-05 07:00:00
120.632455804394,22.919933143326915,30,,2022-11-05 06:00:00
120.6385049048637,22.92697369615367,31,,2022-11-05 05:00:00
120.64432023651784,22.934937713859124,32,,2022-11-05 04:00:00
120.64922827084403,22.93698616747512,33,,2022-11-05 03:00:00
120.65302216673308,22.937125509328855,34,,2022-11-05 02:00:00
120.6558688802994,22.93699875183848,35,,2022-11-05 01:00:00
120.65725117851748,22.93697796850498,36,,2022-11-05 00:00:00
120.6570289089098,22.937009128921478,37,,2022-11-04 23:00:00
120.65708516704233,22.936911174751764,38,,2022-11-04 22:00:00
120.65723628930728,22.93702950267226,39,,2022-11-04 21:00:00
120.6571144923253,22.937018982373772,40,,2022-11-04 20:00:00
120.65715893978806,22.937070847393045,41,,2022-11-04 19:00:00
120.65713895955317,22.940367651441687,42,,2022-11-04 18:00:00
120.65718918075096,22.955921872860426,43,,2022-11-04 17:00:00
120.6562880429138,22.98899459982765,44,,2022-11-04 16:00:00
120.6529035185178,23.032373449564226,45,,2022-11-04 15:00:00
120.65173717969958,23.077842669881253,46,,2022-11-04 14:00:00
120.65679352608456,23.12009890705453,47,,2022-11-04 13:00:00
120.65010930675612,23.13721422710632,48,,2022-11-04 12:00:00
120.6426782015834,23.14956102674285,49,,2022-11-04 11:00:00
120.63811771537551,23.16117135547912,50,,2022-11-04 10:00:00
120.63534203302484,23.1612171042283,51,,2022-11-04 09:00:00
120.63574585919488,23.161217621294483,52,,2022-11-04 08:00:00
120.63737493517073,23.161253290498703,53,,2022-11-04 07:00:00
120.6378759154245,23.161199691885653,54,,2022-11-04 06:00:00
120.63530734103364,23.16117321666728,55,,2022-11-04 05:00:00
120.62828702530174,23.16114647700977,56,,2022-11-04 04:00:00
120.61550314042852,23.161178669232708,57,,2022-11-04 03:00:00
120.59811464551764,23.16111658814128,58,,2022-11-04 02:00:00
120.5866560435018,23.161110769421324,59,,2022-11-04 01:00:00
120.57565739609196,23.161060320319518,60,,2022-11-04 00:00:00
120.56562665256818,23.160950757781222,61,,2022-11-03 23:00:00
120.5657304963252,23.16096697487337,62,,2022-11-03 22:00:00
120.56567292624857,23.160882578236624,63,,2022-11-03 21:00:00
120.5657397284423,23.160887821110688,64,,2022-11-03 20:00:00
120.56577172968568,23.160910729276036,65,,2022-11-03 19:00:00
120.56934580696084,23.161018038997984,66,,2022-11-03 18:00:00
120.57965029356689,23.16108772479447,67,,2022-11-03 17:00:00
120.5963194463959,23.161354931441643,68,,2022-11-03 16:00:00
120.60994225771002,23.168324386916375,69,,2022-11-03 15:00:00
120.62892684319498,23.17883133881598,70,93.8,2022-11-03 14:00:00
120.64083333333332,24.15194444444444,0,,2022-11-06 12:00:00
120.68144227948927,24.125156630277644,1,,2022-11-06 11:00:00
120.70271648236188,24.113438268720643,2,,2022-11-06 10:00:00
120.70662688489551,24.106506253715168,3,,2022-11-06 09:00:00
120.70592609158756,24.099461391640997,4,,2022-11-06 08:00:00
120.70108829717134,24.091987390100726,5,,2022-11-06 07:00:00
120.69378769398648,24.086160637727687,6,,2022-11-06 06:00:00
120.6857140775154,24.08614207083948,7,,2022-11-06 05:00:00
120.67882567999943,24.07338752096384,8,,2022-11-06 04:00:00
120.67014224372332,24.05803571592524,9,,2022-11-06 03:00:00
120.6560759467845,24.05805161224486,10,,2022-11-06 02:00:00
120.65408817566484,24.057955083365197,11,,2022-11-06 01:00:00
120.65415136002132,24.05805474084213,12,,2022-11-06 00:00:00
120.65410729620096,24.05798282332569,13,,2022-11-05 23:00:00
120.6540991927653,24.057915748777216,14,,2022-11-05 22:00:00
120.65420844576836,24.05800066268454,15,,2022-11-05 21:00:00
120.65420367780013,24.05808464864656,16,,2022-11-05 20:00:00
120.6541479463784,24.05791331142575,17,,2022-11-05 19:00:00
120.65418520309476,24.05806964205332,18,,2022-11-05 18:00:00
120.65422349471334,24.05796664759112,19,,2022-11-05 17:00:00
120.65411107338744,24.05804231554034,20,,2022-11-05 16:00:00
120.65423812897964,24.057990576382903,21,,2022-11-05 15:00:00
120.65414618413055,24.058000837408613,22,,2022-11-05 14:00:00
120.654129350642,24.05681626267801,23,,2022-11-05 13:00:00
120.6543244476442,24.057917420711053,24,,2022-11-05 12:00:00
120.6542186888791,24.058008471691803,25,,2022-11-05 11:00:00
120.65416878187956,24.058138241277863,26,,2022-11-05 10:00:00
120.6542225546365,24.05806472549554,27,,2022-11-05 09:00:00
120.65419066666868,24.05812823793069,28,,2022-11-05 08:00:00
120.65421440596364,24.058054463518666,29,,2022-11-05 07:00:00
120.65421947462016,24.058033688607456,30,,2022-11-05 06:00:00
120.6542675071383,24.0578750481794,31,,2022-11-05 05:00:00
120.65423522122674,24.057958871708557,32,,2022-11-05 04:00:00
120.65415562633488,24.058000293158184,33,,2022-11-05 03:00:00
120.65408324111242,24.058005948214756,34,,2022-11-05 02:00:00
120.65421227612256,24.05791692565685,35,,2022-11-05 01:00:00
120.6541601169318,24.05800457964323,36,,2022-11-05 00:00:00
120.65419231527272,24.05805658819447,37,,2022-11-04 23:00:00
120.65409518827842,24.058091984891696,38,,2022-11-04 22:00:00
120.65414251826265,24.05795550644325,39,,2022-11-04 21:00:00
120.65412986737138,24.05804624946753,40,,2022-11-04 20:00:00
120.6541578506508,24.057909156344877,41,,2022-11-04 19:00:00
120.65422678693795,24.05800766499145,42,,2022-11-04 18:00:00
120.6542948258828,24.05791236862872,43,,2022-11-04 17:00:00
120.65422220471476,24.0579813243888,44,,2022-11-04 16:00:00
120.65422242167772,24.0580557685108,45,,2022-11-04 15:00:00
120.65418143204346,24.05798936098783,46,,2022-11-04 14:00:00
120.65415745261802,24.056810230715072,47,,2022-11-04 13:00:00
120.6543398568182,24.057930157291043,48,,2022-11-04 12:00:00
120.65427616154348,24.05801514382552,49,,2022-11-04 11:00:00
120.65417122354413,24.05813863713685,50,,2022-11-04 10:00:00
120.65418158965458,24.05807011698898,51,,2022-11-04 09:00:00
120.65418204009887,24.058102428030928,52,,2022-11-04 08:00:00
120.65421339008964,24.05806150272841,53,,2022-11-04 07:00:00
120.65430427873106,24.05790347212089,54,,2022-11-04 06:00:00
120.65415853168116,24.05813586220829,55,,2022-11-04 05:00:00
120.6541420979726,24.05797766276296,56,,2022-11-04 04:00:00
120.65416675480972,24.058045072884923,57,,2022-11-04 03:00:00
120.65419021853856,24.05802091432631,58,,2022-11-04 02:00:00
120.65411573826351,24.057984091532457,59,,2022-11-04 01:00:00
120.65414777316532,24.05799805495465,60,,2022-11-04 00:00:00
120.65420212836104,24.057984197777408,61,,2022-11-03 23:00:00
120.65411819396694,24.057945260856865,62,,2022-11-03 22:00:00
120.65412461243147,24.05803754081229,63,,2022-11-03 21:00:00
120.65419312297958,24.05790172335313,64,,2022-11-03 20:00:00
120.65423507192418,24.058092374545573,65,,2022-11-03 19:00:00
120.65413893436909,24.057999666030344,66,,2022-11-03 18:00:00
120.65419038090307,24.0579706462636,67,,2022-11-03 17:00:00
120.65422217040832,24.05797913519155,68,,2022-11-03 16:00:00
120.6542303277704,24.0580412735475,69,,2022-11-03 15:00:00
120.65415837008524,24.05804612711817,70,169.0,2022-11-03 14:00:00
121.52638888888887,25.0622222222222,0,,2022-11-06 12:00:00
121.66099311763674,25.16968678662259,1,,2022-11-06 11:00:00
121.79297724475448,25.272645456262666,2,,2022-11-06 10:00:00
121.91902063119524,25.37817448092313,3,,2022-11-06 09:00:00
122.03929395881973,25.483479013270887,4,,2022-11-06 08:00:00
122.1546899743991,25.58085156406953,5,,2022-11-06 07:00:00
122.29265821179288,25.673780163556568,6,,2022-11-06 06:00:00
122.42390979678454,25.762561565091897,7,,2022-11-06 05:00:00
122.52441105284326,25.8640565259962,8,,2022-11-06 04:00:00
122.60714081466752,25.960675621292257,9,,2022-11-06 03:00:00
122.71460767489644,26.044582620584144,10,,2022-11-06 02:00:00
122.82287074837907,26.13457510364157,11,,2022-11-06 01:00:00
122.91816221875328,26.231844028153805,12,,2022-11-06 00:00:00
123.02264649819578,26.338146661078405,13,,2022-11-05 23:00:00
123.12528554653348,26.451228144662768,14,,2022-11-05 22:00:00
123.23306433677004,26.56258761041676,15,,2022-11-05 21:00:00
123.34422442444804,26.678131030883897,16,,2022-11-05 20:00:00
123.44240538365264,26.80097640288776,17,,2022-11-05 19:00:00
123.53260906064244,26.929621176154715,18,,2022-11-05 18:00:00
123.62056867983972,27.068104671876625,19,,2022-11-05 17:00:00
123.6964722031241,27.20991129164473,20,,2022-11-05 16:00:00
123.78292744982043,27.34472607412901,21,,2022-11-05 15:00:00
123.8618289301176,27.482592927499542,22,,2022-11-05 14:00:00
123.93218917096569,27.609781070090783,23,,2022-11-05 13:00:00
124.01806349472892,27.71710989129529,24,,2022-11-05 12:00:00
124.10417134903048,27.820528025913173,25,,2022-11-05 11:00:00
124.18241250439308,27.923795405498403,26,,2022-11-05 10:00:00
124.25860962775177,28.035986404101653,27,,2022-11-05 09:00:00
124.33660894540547,28.142859497442807,28,,2022-11-05 08:00:00
124.41324251842325,28.248958469078296,29,,2022-11-05 07:00:00
124.49228143114593,28.36098104875197,30,,2022-11-05 06:00:00
124.5586646978297,28.48651415693957,31,,2022-11-05 05:00:00
124.62354296476512,28.61094765460881,32,,2022-11-05 04:00:00
124.68015303818686,28.73697427399822,33,,2022-11-05 03:00:00
124.74700584600166,28.86698558078336,34,,2022-11-05 02:00:00
124.80813030033676,28.996786789448183,35,,2022-11-05 01:00:00
124.86677468742748,29.128575729548658,36,,2022-11-05 00:00:00
124.92447778211518,29.25983939562819,37,,2022-11-04 23:00:00
124.97633522701626,29.399210355483888,38,,2022-11-04 22:00:00
125.02321057645938,29.541692521965853,39,,2022-11-04 21:00:00
125.06773194931912,29.685306733812773,40,,2022-11-04 20:00:00
125.10908135537872,29.830539281215746,41,,2022-11-04 19:00:00
125.14584542825251,29.97925536667442,42,,2022-11-04 18:00:00
125.17539710228166,30.12651889216025,43,,2022-11-04 17:00:00
125.19658063733198,30.276246900634973,44,,2022-11-04 16:00:00
125.21379249922846,30.431591455571503,45,,2022-11-04 15:00:00
125.22473833839965,30.58877943814236,46,,2022-11-04 14:00:00
125.23517080049687,30.747187687582723,47,,2022-11-04 13:00:00
125.2873130141037,30.845519884670672,48,,2022-11-04 12:00:00
125.3303978553764,30.93985527318856,49,,2022-11-04 11:00:00
125.38376502487156,31.042016892284494,50,,2022-11-04 10:00:00
125.42880226418474,31.141934798577743,51,,2022-11-04 09:00:00
125.4718144159759,31.24601044213604,52,,2022-11-04 08:00:00
125.5121275168486,31.35388371876922,53,,2022-11-04 07:00:00
125.54382250122264,31.46466363088419,54,,2022-11-04 06:00:00
125.56913333394505,31.582513041357146,55,,2022-11-04 05:00:00
125.59209017372412,31.70193388592551,56,,2022-11-04 04:00:00
125.61480465930562,31.8251136103423,57,,2022-11-04 03:00:00
125.6371066510435,31.952965247454863,58,,2022-11-04 02:00:00
125.65666987016712,32.08434330124781,59,,2022-11-04 01:00:00
125.66987813219907,32.21936808063567,60,,2022-11-04 00:00:00
125.67782088227294,32.35743883699664,61,,2022-11-03 23:00:00
125.68627117873294,32.4954643997012,62,,2022-11-03 22:00:00
125.69545381618812,32.630041874882465,63,,2022-11-03 21:00:00
125.69771836086215,32.76859533080737,64,,2022-11-03 20:00:00
125.68757841093068,32.85848717292055,65,,2022-11-03 19:00:00
125.67450390018578,32.90609323789809,66,,2022-11-03 18:00:00
125.6567067581863,32.92647530186579,67,,2022-11-03 17:00:00
125.6227106774164,32.947884434448,68,,2022-11-03 16:00:00
125.51107312743903,32.96608345744673,69,,2022-11-03 15:00:00
125.39634589850095,32.98538675021749,70,291.9,2022-11-03 14:00:00
